Displacements
Node, u, v
1.000000 , 0.000000, 0.000000
2.000000 , -0.000000, -0.000001
3.000000 , 0.000000, 0.000000
4.000000 , -0.000576, -0.001623
5.000000 , -0.000000, 0.000185
6.000000 , 0.000576, -0.001623
Stress
Element, Gauss Node, Global Node, Stress-x, Stress-y, Stress-xy
1 ,1, 1, -0.063987, -3.708878, 0.486940
1 ,2, 2, 0.615018, -0.637962, 0.655274
1 ,3, 5, 0.743063, -2.475177, 1.356720
1 ,4, 4, 1.634631, 0.331405, 1.917460
2 ,1, 2, 0.615018, -0.637962, -0.655274
2 ,2, 3, -0.063987, -3.708878, -0.486940
2 ,3, 6, 1.634631, 0.331405, -1.917460
2 ,4, 5, 0.743063, -2.475177, -1.356720
