Displacements
Node, u, v
1.000000 , 0.270854, 0.000000
21 ,1, 23, 285.524839, -759.643943, 288.358580
21 ,2, 24, 393.858884, -609.370253, 381.632221
21 ,3, 33, 344.592983, -833.579113, 299.386971
21 ,4, 32, 461.600426, -671.274270, 400.128250
22 ,1, 24, 96.992268, -621.818246, 590.178748
22 ,2, 25, 252.398460, -571.261264, 716.752676
22 ,3, 34, 288.368069, -604.454756, 548.206333
22 ,4, 33, 456.216331, -549.850100, 684.913974
23 ,1, 25, -143.884737, -473.553131, 690.205100
23 ,2, 26, -31.765462, -651.162810, 863.445906
23 ,3, 35, 187.431390, -374.552966, 581.289306
23 ,4, 34, 308.527115, -566.382362, 768.400050
24 ,1, 26, -242.418006, -501.651181, 299.753303
24 ,2, 27, -224.535860, -725.884419, 517.454600
24 ,3, 36, 135.978371, -420.074834, 205.817078
24 ,4, 35, 155.292191, -662.260546, 440.947890
25 ,1, 28, -255.244806, -923.579723, -154.680499
25 ,2, 29, -281.631705, -866.553506, 113.033470
25 ,3, 38, -334.552996, -1444.375822, -133.035434
25 ,4, 37, -363.392589, -1382.048948, 159.562877
26 ,1, 29, -132.791859, -990.635046, -149.396613
26 ,2, 30, -193.290416, -838.583624, 70.556099
26 ,3, 39, -217.727154, -1444.988348, -72.759314
26 ,4, 38, -283.849127, -1278.803559, 167.638272
27 ,1, 30, 44.706559, -1028.815110, -70.352755
27 ,2, 31, -1.635195, -830.134735, 79.216820
27 ,3, 40, -35.419441, -1364.818433, 22.825569
27 ,4, 39, -86.068717, -1147.670472, 186.297820
28 ,1, 31, 226.712971, -995.477613, 85.058027
28 ,2, 32, 250.509563, -806.039338, 181.880172
28 ,3, 41, 194.032374, -1194.124150, 148.248558
28 ,4, 40, 220.040889, -987.077354, 254.070440
29 ,1, 32, 363.252444, -861.492226, 294.487059
29 ,2, 33, 486.134803, -728.664395, 389.850908
29 ,3, 42, 450.662727, -930.428043, 294.119238
29 ,4, 41, 584.967152, -785.253702, 398.347273
30 ,1, 33, 428.155037, -624.100396, 484.105138
30 ,2, 34, 611.522853, -592.684145, 630.336103
30 ,3, 43, 698.837377, -585.388416, 415.213108
30 ,4, 42, 899.249457, -551.051986, 575.036421
31 ,1, 34, 452.925535, -341.383224, 490.587785
31 ,2, 35, 598.892692, -428.275230, 704.133748
31 ,3, 44, 888.539779, -244.013709, 385.503908
31 ,4, 43, 1048.074763, -338.982433, 618.899230
32 ,1, 35, 481.707121, -175.183082, 147.606807
32 ,2, 36, 529.427206, -258.283394, 409.424298
32 ,3, 45, 991.534414, -87.248551, 81.978192
32 ,4, 44, 1043.690139, -178.073140, 368.131941
33 ,1, 37, -110.146204, -1892.223464, -71.075735
33 ,2, 38, -177.665173, -1814.949519, 311.364961
33 ,3, 47, -246.824889, -2782.028037, -21.735948
33 ,4, 46, -321.824123, -2696.193096, 403.074442
34 ,1, 38, -89.618250, -1752.405839, 169.379976
34 ,2, 39, -261.626584, -1551.160105, 468.135785
34 ,3, 48, -253.100450, -2518.626859, 334.632516
34 ,4, 47, -444.165178, -2295.085589, 666.486769
35 ,1, 39, -88.534384, -1428.311606, 325.503903
35 ,2, 40, -285.314716, -1182.338069, 495.288259
35 ,3, 49, -279.153508, -1974.245660, 531.752098
35 ,4, 48, -497.734664, -1701.021301, 720.346458
36 ,1, 40, -30.871836, -1005.851311, 349.864400
36 ,2, 41, -154.453324, -812.642880, 407.606927
36 ,3, 50, -187.370532, -1292.397376, 500.965453
36 ,4, 49, -324.643319, -1077.783843, 565.105137
37 ,1, 41, 173.504245, -588.605469, 255.381280
37 ,2, 42, 196.503196, -529.064768, 282.848366
37 ,3, 51, 182.431942, -635.215798, 271.658251
37 ,4, 50, 207.978893, -569.078725, 302.168350
38 ,1, 42, 569.146267, -252.301104, 101.192762
38 ,2, 43, 736.691953, -352.161825, 220.614478
38 ,3, 52, 910.160142, -129.142667, -35.668747
38 ,4, 51, 1096.267815, -240.066720, 96.983417
39 ,1, 43, 1082.675378, -35.198237, -58.239147
39 ,2, 44, 1289.216600, -218.889674, 248.972748
39 ,3, 53, 1850.027561, 155.232657, -265.328348
39 ,4, 52, 2079.450992, -48.809516, 75.918821
40 ,1, 44, 1502.079707, 26.437497, -197.655730
40 ,2, 45, 1595.228360, -70.506658, 272.984881
40 ,3, 54, 2588.197621, 206.141136, -316.315269
40 ,4, 53, 2691.665991, 98.456769, 206.466494
