Displacements
Node, u, v
178.000000 , 0.000541, 0.033899
179.000000 , 0.012761, 0.069321
180.000000 , 0.031594, 0.107152
181.000000 , 0.055345, 0.147054
182.000000 , 0.082605, 0.186956
183.000000 , 0.112561, 0.222665
184.000000 , 0.144667, 0.248160
185.000000 , 0.178063, 0.257513
186.000000 , 0.211460, 0.248160
187.000000 , 0.243566, 0.222665
188.000000 , 0.273522, 0.186956
189.000000 , 0.300782, 0.147054
190.000000 , 0.324532, 0.107152
191.000000 , 0.343366, 0.069321
192.000000 , 0.355586, 0.033899
Stress
Element, Gauss Node, Global Node, Stress-x, Stress-y, Stress-xy
1 ,1, 1, -5.273346, 556.420604, -143.234246
1 ,2, 2, -27.176610, 586.336624, 2.201115
1 ,3, 34, -34.561506, 365.202541, -133.512634
1 ,4, 33, -57.837629, 396.993647, 21.038370
2 ,1, 2, 69.495558, 391.716372, -229.877849
2 ,2, 3, 14.667960, 470.310631, -114.228311
2 ,3, 35, 35.615827, 226.180765, -196.736193
2 ,4, 34, -22.648272, 309.701180, -73.837936
3 ,1, 3, 139.037990, 154.956170, -207.872147
3 ,2, 4, 78.798424, 253.586545, -137.731746
3 ,3, 36, 101.278161, 34.905329, -166.291744
3 ,4, 35, 37.262881, 139.717689, -91.755060
4 ,1, 4, 123.926384, -63.078454, -74.972607
4 ,2, 5, 88.781728, 23.463648, -43.503270
4 ,3, 37, 93.298091, -132.207341, -42.426564
4 ,4, 36, 55.950628, -40.240926, -8.984782
5 ,1, 5, -35.344185, -182.597987, 110.648415
5 ,2, 6, -30.642453, -131.078711, 127.176502
5 ,3, 38, -41.097319, -208.036404, 123.031583
5 ,4, 37, -36.100890, -153.287987, 140.595622
6 ,1, 6, -322.084968, -164.245272, 249.660531
6 ,2, 7, -308.679234, -74.652988, 269.987185
6 ,3, 39, -326.499083, -193.452035, 270.017641
6 ,4, 38, -312.253100, -98.244259, 291.618336
7 ,1, 7, -817.614240, -253.597180, 419.381027
7 ,2, 8, -797.269507, -535.392131, 471.556386
7 ,3, 40, -694.567853, -178.592209, 334.487631
7 ,4, 39, -672.947946, -478.049591, 389.933253
8 ,1, 8, -1393.428820, -640.589947, 160.184730
8 ,2, 9, -1379.212419, -1011.509359, 452.576181
8 ,3, 41, -990.888804, -548.268183, 44.892571
8 ,4, 40, -975.781343, -942.436196, 355.610625
9 ,1, 9, -1379.212419, -1011.509359, -452.576181
9 ,2, 10, -1393.428820, -640.589947, -160.184730
9 ,3, 42, -975.781343, -942.436196, -355.610625
9 ,4, 41, -990.888804, -548.268183, -44.892571
10 ,1, 10, -797.269507, -535.392131, -471.556386
10 ,2, 11, -817.614240, -253.597180, -419.381027
10 ,3, 43, -672.947946, -478.049591, -389.933253
10 ,4, 42, -694.567853, -178.592209, -334.487631
11 ,1, 11, -308.679234, -74.652988, -269.987185
11 ,2, 12, -322.084968, -164.245272, -249.660531
11 ,3, 44, -312.253100, -98.244259, -291.618336
11 ,4, 43, -326.499083, -193.452035, -270.017641
12 ,1, 12, -30.642453, -131.078711, -127.176502
12 ,2, 13, -35.344185, -182.597987, -110.648415
12 ,3, 45, -36.100890, -153.287987, -140.595622
12 ,4, 44, -41.097319, -208.036404, -123.031583
13 ,1, 13, 88.781728, 23.463648, 43.503270
13 ,2, 14, 123.926384, -63.078454, 74.972607
13 ,3, 46, 55.950628, -40.240926, 8.984782
13 ,4, 45, 93.298091, -132.207341, 42.426564
14 ,1, 14, 78.798424, 253.586545, 137.731746
14 ,2, 15, 139.037990, 154.956170, 207.872147
14 ,3, 47, 37.262881, 139.717689, 91.755060
14 ,4, 46, 101.278161, 34.905329, 166.291744
15 ,1, 15, 14.667960, 470.310631, 114.228311
15 ,2, 16, 69.495558, 391.716372, 229.877849
15 ,3, 48, -22.648272, 309.701180, 73.837936
15 ,4, 47, 35.615827, 226.180765, 196.736193
16 ,1, 16, -27.176610, 586.336624, -2.201115
16 ,2, 17, -5.273346, 556.420604, 143.234246
16 ,3, 49, -57.837629, 396.993647, -21.038370
16 ,4, 48, -34.561506, 365.202541, 133.512634
17 ,1, 17, -5.273346, 556.420604, -143.234246
17 ,2, 18, -27.176610, 586.336624, 2.201115
17 ,3, 50, -34.561506, 365.202541, -133.512634
17 ,4, 49, -57.837629, 396.993647, 21.038370
18 ,1, 18, 69.495558, 391.716372, -229.877849
18 ,2, 19, 14.667960, 470.310631, -114.228311
18 ,3, 51, 35.615827, 226.180765, -196.736193
18 ,4, 50, -22.648272, 309.701180, -73.837936
19 ,1, 19, 139.037990, 154.956170, -207.872147
19 ,2, 20, 78.798424, 253.586545, -137.731746
19 ,3, 52, 101.278161, 34.905329, -166.291744
19 ,4, 51, 37.262881, 139.717689, -91.755060
20 ,1, 20, 123.926384, -63.078454, -74.972607
20 ,2, 21, 88.781728, 23.463648, -43.503270
20 ,3, 53, 93.298091, -132.207341, -42.426564
20 ,4, 52, 55.950628, -40.240926, -8.984782
21 ,1, 21, -35.344185, -182.597987, 110.648415
21 ,2, 22, -30.642453, -131.078711, 127.176502
21 ,3, 54, -41.097319, -208.036404, 123.031583
21 ,4, 53, -36.100890, -153.287987, 140.595622
22 ,1, 22, -322.084968, -164.245272, 249.660531
22 ,2, 23, -308.679234, -74.652988, 269.987185
22 ,3, 55, -326.499083, -193.452035, 270.017641
22 ,4, 54, -312.253100, -98.244259, 291.618336
23 ,1, 23, -817.614240, -253.597180, 419.381027
23 ,2, 24, -797.269507, -535.392131, 471.556386
23 ,3, 56, -694.567853, -178.592209, 334.487631
23 ,4, 55, -672.947946, -478.049591, 389.933253
24 ,1, 24, -1393.428820, -640.589947, 160.184730
24 ,2, 25, -1379.212419, -1011.509359, 452.576181
24 ,3, 57, -990.888804, -548.268183, 44.892571
24 ,4, 56, -975.781343, -942.436196, 355.610625
25 ,1, 25, -1379.212419, -1011.509359, -452.576181
25 ,2, 26, -1393.428820, -640.589947, -160.184730
25 ,3, 58, -975.781343, -942.436196, -355.610625
25 ,4, 57, -990.888804, -548.268183, -44.892571
26 ,1, 26, -797.269507, -535.392131, -471.556386
26 ,2, 27, -817.614240, -253.597180, -419.381027
26 ,3, 59, -672.947946, -478.049591, -389.933253
26 ,4, 58, -694.567853, -178.592209, -334.487631
